Compound,Date,Negative,Neutral,Positive,Screen_Name
0.2023,Sun Jul 08 21:45:11 +0000 2018,0.0,0.816,0.184,CNN
-0.0772,Sun Jul 08 21:35:09 +0000 2018,0.091,0.909,0.0,CNN
0.0,Sun Jul 08 21:30:08 +0000 2018,0.0,1.0,0.0,CNN
0.4019,Sun Jul 08 21:22:00 +0000 2018,0.0,0.87,0.13,CNN
0.0,Sun Jul 08 21:15:03 +0000 2018,0.0,1.0,0.0,CNN
0.5574,Sun Jul 08 21:07:05 +0000 2018,0.0,0.753,0.247,CNN
-0.4404,Mon Jul 09 02:17:27 +0000 2018,0.132,0.868,0.0,nytimes
0.4019,Mon Jul 09 02:01:17 +0000 2018,0.0,0.87,0.13,nytimes
-0.4767,Mon Jul 09 01:43:49 +0000 2018,0.279,0.721,0.0,nytimes
-0.3612,Mon Jul 09 01:30:48 +0000 2018,0.2,0.8,0.0,nytimes
0.6808,Mon Jul 09 01:29:19 +0000 2018,0.0,0.728,0.272,nytimes
0.8176,Mon Jul 09 01:11:04 +0000 2018,0.0,0.485,0.515,nytimes
-0.0418,Mon Jul 09 00:53:53 +0000 2018,0.165,0.677,0.158,nytimes
-0.5994,Mon Jul 09 00:35:21 +0000 2018,0.163,0.837,0.0,nytimes
-0.296,Mon Jul 09 00:16:14 +0000 2018,0.109,0.891,0.0,nytimes
0.5719,Sun Jul 08 23:58:57 +0000 2018,0.0,0.575,0.425,nytimes
-0.0772,Sun Jul 08 23:52:02 +0000 2018,0.115,0.885,0.0,nytimes
0.2732,Sun Jul 08 23:51:25 +0000 2018,0.0,0.896,0.104,nytimes
-0.1027,Sun Jul 08 23:34:33 +0000 2018,0.078,0.861,0.061,nytimes
0.0,Sun Jul 08 23:16:21 +0000 2018,0.0,1.0,0.0,nytimes
0.8519,Sun Jul 08 23:01:22 +0000 2018,0.0,0.658,0.342,nytimes
0.0,Sun Jul 08 22:43:22 +0000 2018,0.0,1.0,0.0,nytimes
0.0,Sun Jul 08 22:25:44 +0000 2018,0.0,1.0,0.0,nytimes
0.0,Sun Jul 08 22:08:12 +0000 2018,0.0,1.0,0.0,nytimes
0.0,Sun Jul 08 22:00:12 +0000 2018,0.0,1.0,0.0,nytimes
0.0,Sun Jul 08 21:45:07 +0000 2018,0.0,1.0,0.0,nytimes
0.4019,Sun Jul 08 21:07:05 +0000 2018,0.0,0.787,0.213,BBC
-0.6908,Sun Jul 08 20:52:12 +0000 2018,0.207,0.793,0.0,BBC
